SampleName,FileName,Group
GSM26804,GSM26804.CEL,Luminal
GSM26867,GSM26867.CEL,Luminal
GSM26868,GSM26868.CEL,Luminal
GSM26869,GSM26869.CEL,Luminal
GSM26870,GSM26870.CEL,Luminal
GSM26871,GSM26871.CEL,Basal-like
GSM26872,GSM26872.CEL,Luminal
GSM26873,GSM26873.CEL,Luminal
GSM26874,GSM26874.CEL,Luminal
GSM26875,GSM26875.CEL,Luminal
GSM26876,GSM26876.CEL,Luminal
GSM26877,GSM26877.CEL,Luminal
GSM26878,GSM26878.CEL,Apocrine
GSM26879,GSM26879.CEL,Luminal
GSM26880,GSM26880.CEL,Basal-like
GSM26881,GSM26881.CEL,Luminal
GSM26882,GSM26882.CEL,Basal-like
GSM26883,GSM26883.CEL,Apocrine
GSM26884,GSM26884.CEL,Basal-like
GSM26885,GSM26885.CEL,Luminal
GSM26886,GSM26886.CEL,Apocrine
GSM26887,GSM26887.CEL,Apocrine
GSM26888,GSM26888.CEL,Basal-like
GSM26889,GSM26889.CEL,Basal-like
GSM26890,GSM26890.CEL,Luminal
GSM26891,GSM26891.CEL,Luminal
GSM26892,GSM26892.CEL,Basal-like
GSM26893,GSM26893.CEL,Basal-like
GSM26894,GSM26894.CEL,Luminal
GSM26895,GSM26895.CEL,Basal-like
GSM26896,GSM26896.CEL,Luminal
GSM26897,GSM26897.CEL,Luminal
GSM26898,GSM26898.CEL,Basal-like
GSM26899,GSM26899.CEL,Luminal
GSM26900,GSM26900.CEL,Basal-like
GSM26901,GSM26901.CEL,Luminal
GSM26902,GSM26902.CEL,Basal-like
GSM26903,GSM26903.CEL,Apocrine
GSM26904,GSM26904.CEL,Luminal
GSM26905,GSM26905.CEL,Basal-like
GSM26906,GSM26906.CEL,Basal-like
GSM26907,GSM26907.CEL,Luminal
GSM26908,GSM26908.CEL,Basal-like
GSM26909,GSM26909.CEL,Luminal
GSM26910,GSM26910.CEL,Apocrine
GSM26911,GSM26911.CEL,Luminal
GSM26912,GSM26912.CEL,Basal-like
GSM26913,GSM26913.CEL,Luminal
GSM26914,GSM26914.CEL,Luminal
